email,username,password,birthday,xp
leonardo@mani.com.br,leo,mani1234,1990/10/10,0
mani@mani.com.br,mani,mani1234,1990/10/10,9999
alexandre@mani.com.br,ale,mani1234,1990/10/10,78
guilherme@mani.com.br,gui,mani1234,1990/10/10,42
josepaulo@mani.com.br,jose,mani1234,1990/10/10,38
apolo_br@gmail.com,apolo,mani1234,1990/10/10,39
anapaula@gmail.com,aninha,mani1234,1990/10/10,20
milano@gmail.com,milano,mani1234,1990/10/10,39
lucas@gmail.com,lucas,mani1234,1990/10/10,554
pedro@gmail.com,pedro,mani1234,1990/10/10,222
leticia@gmail.com,leticia,mani1234,1990/10/10,78
pikachu@gmail.com,pikachu,mani1234,1990/10/10,458
ash@pokemon.com,ash,mani1234,1990/10/10,777
yugioh@yugioh.com,yugioh,mani1234,1990/10/10,47
carlos@gmail.com,carlos,mani1234,1990/10/10,94
peter@gmail.com,peter,mani1234,1990/10/10,46
bulbassauro@pokemon.com,bulba,mani1234,1990/10/10,456
aligator@gmail.com,aligator,mani1234,1990/10/10,47
leandro@gmail.com,leandro,mani1234,1990/10/10,93
kratos@godofwar.com,kratos,mani1234,1990/10/10,666
goku@dbz.com,goku,mani1234,1990/10/10,9000
vegeta@dbz.com,vegeta,mani1234,1990/10/10,8000
freeza@dbz.com,freeza,mani1234,1990/10/10,8100
